FP_ID,flag,classification,acres,n_cells,slope_mean,slope_p90,slope_max,frac_over_30
2942068,Y,III,4.4,308,20.24498176574707,27.69685935974121,36.056854248046875,0.07792207792207792
2942068,Y,III,39.0,2604,16.372011184692383,28.02724838256836,42.341407775878906,0.065284178187404
2942068,Y,III,76.0,5062,29.974794387817383,41.303829193115234,51.06769943237305,0.5758593441327539
2942073,Y,III,150.0,1016,10.300037384033203,23.800636291503906,31.868558883666992,0.015748031496062992
2942086,Y,III,60.0,4248,23.836631774902344,39.86996841430664,53.54909133911133,0.3754708097928437
2942039,N,III,22.2,1567,11.888504028320312,19.388547897338867,30.758302688598633,0.003190810465858328
2942045,N,III,94.0,4986,1.3012195825576782,2.382725715637207,5.158053874969482,0.0
2942023,N,III,11.5,728,7.13135290145874,12.863810539245605,16.363994598388672,0.0
2942134,N,III,50.6,3430,9.995394706726074,19.899503707885742,31.039798736572266,0.0011661807580174927
2942126,Y,III,184.20000000000002,11656,16.588581085205078,26.399934768676758,43.040321350097656,0.050017158544955385
2942153,N,III,1.0,128,19.04320526123047,24.372194290161133,30.197744369506836,0.0078125
2942147,Y,IVS,12.0,882,9.850225448608398,13.01778793334961,22.284011840820312,0.0
2942147,Y,IVS,10.0,253,15.230807304382324,19.238168716430664,23.00364875793457,0.0
2942147,Y,IVS,21.0,1472,9.175311088562012,15.204200744628906,23.34266471862793,0.0
2942147,Y,IVS,464.0,1152,9.086609840393066,14.901107788085938,23.72234535217285,0.0
2942109,N,III,54.300000000000004,3902,10.020990371704102,17.06787109375,32.34352111816406,0.0012813941568426447
2942123,Y,III,66.5,5649,17.579875946044922,32.391056060791016,45.12091064453125,0.13772349088334218
2942120,Y,III,66.8,4801,16.188934326171875,26.499357223510742,38.72119903564453,0.04290772755675901
2942155,Y,III,94.2,6374,11.590987205505371,19.10980987548828,32.83931350708008,0.0031377470975839346
2942131,Y,III,136.0,10672,14.36556625366211,25.817733764648438,43.57881546020508,0.049287856071964016
2942124,Y,III,115.0,7387,20.44666290283203,31.99368667602539,43.741722106933594,0.16853932584269662
2942115,Y,III,72.0,4524,21.404510498046875,37.07853317260742,46.89703369140625,0.2473474801061008
2942107,Y,III,57.2,4699,14.042920112609863,24.446765899658203,38.0473518371582,0.020642689934028517
2942104,N,III,120.0,7153,16.71420669555664,25.42209815979004,43.9207763671875,0.037326995666154064
2942112,Y,IVS,62.1,4924,29.83170509338379,38.503658294677734,53.465633392333984,0.576157595450853
2942154,N,III,1.0,341,12.816112518310547,20.025707244873047,35.13433837890625,0.017595307917888565
2942099,Y,III,20.0,1398,28.80605697631836,38.53163146972656,45.26356887817383,0.5078683834048641
2942099,Y,III,30.0,1935,27.272153854370117,41.24810028076172,48.132774353027344,0.4392764857881137
2942113,N,III,37.0,2491,11.535876274108887,28.029321670532227,42.2043571472168,0.06463267763950221
2942113,N,III,11.9,809,4.474361419677734,8.791971206665039,13.97484302520752,0.0
2942138,Y,III,57.0,3824,19.481266021728516,27.106426239013672,41.9193115234375,0.041056485355648535
2942095,Y,III,39.0,3373,18.80459976196289,32.777748107910156,45.12113571166992,0.1565372072339164
2942146,N,III,3.5,274,6.69846773147583,9.710097312927246,17.62288475036621,0.0
2942132,Y,III,85.0,5251,21.749134063720703,34.9759635925293,46.3580322265625,0.2350028565987431
2942116,N,III,8.0,352,3.900118350982666,6.235147476196289,7.190767288208008,0.0
2942127,N,III,30.0,1611,21.096689224243164,33.99786376953125,48.37492370605469,0.244568590937306
