FP_ID,flag,acres,slope_mean,slope_p90,slope_max,frac_over_30
2943761,Y,105.8,25.668441772460938,39.79570007324219,58.13417434692383,0.33879865154765554
2943762,Y,68.60000000000001,19.032793045043945,28.79392433166504,40.113800048828125,0.0720529175525632
2943763,Y,83.3,34.820640563964844,43.73992919921875,55.223331451416016,0.768377253814147
2943764,Y,36.2,29.56340789794922,41.60361862182617,51.21440887451172,0.5095343680709534
2943766,Y,18.0,11.361713409423828,16.829980850219727,37.73175811767578,0.05348133198789102
2943776,Y,89.0,14.25570297241211,23.11524772644043,40.658966064453125,0.00876538604998135
2943779,N,8.5,3.2586917877197266,6.388613700866699,10.985901832580566,0.0
2943780,Y,85.0,8.453690528869629,12.822029113769531,25.285381317138672,0.0
2943782,N,37.0,0.9140992760658264,1.7256193161010742,4.706658363342285,0.0
2943783,N,13.100000000000001,1.8588451147079468,3.1956100463867188,5.173287391662598,0.0
2943785,Y,93.9,19.975168228149414,29.176910400390625,40.64438247680664,0.07452547452547452
2943793,N,17.0,6.059824705123901,8.830917358398438,11.026948928833008,0.0
2943797,Y,39.4,31.392290115356445,41.33639144897461,56.190032958984375,0.6042605489553462
2943799,N,65.0,20.766860961914062,38.966796875,57.992576599121094,0.16032148900169205
2943800,N,31.5,2.2073473930358887,11.572525024414062,20.346792221069336,0.0
2943808,N,65.0,11.046448707580566,17.391714096069336,24.547910690307617,0.0
2943809,Y,89.0,14.745527267456055,28.108871459960938,45.93392562866211,0.07827059262020127
2943819,Y,109.5,33.12472152709961,42.31720733642578,55.68025207519531,0.7126147468167012
2943820,Y,75.4,15.612566471099854,29.751415252685547,37.44863510131836,0.09483488569009314
2943821,Y,49.0,15.102853775024414,25.39206314086914,37.86929702758789,0.031170483460559797
2943822,Y,73.7,33.98493957519531,43.81700897216797,53.193878173828125,0.7212903225806452
2943823,Y,42.7,24.400056838989258,34.35371780395508,41.244300842285156,0.36963819470346887
2943824,Y,94.8,22.17644500732422,32.755767822265625,55.25368881225586,0.18169422191920914
2943830,N,6.0,18.870105743408203,29.13488006591797,39.39056396484375,0.08505154639175258
2943837,Y,93.2,22.448728561401367,32.40848159790039,48.19718551635742,0.16266907123534716
2943838,Y,94.3,15.461015701293945,33.342552185058594,58.48856735229492,0.131592164741336
2943841,Y,72.60000000000001,8.80491828918457,14.156597137451172,30.318363189697266,0.0004528985507246377
2943846,N,9.0,10.786540031433105,15.813081741333008,25.735301971435547,0.0
2943849,N,36.2,15.69399356842041,28.066970825195312,41.43450927734375,0.06873905429071804
2943850,Y,45.5,10.11473560333252,17.353012084960938,36.23707580566406,0.007429420505200594
2943853,N,15.0,12.761216163635254,21.804506301879883,43.695289611816406,0.01407035175879397
2943857,N,39.0,3.2588957945505777,7.507519721984863,16.817150115966797,0.0
2943859,N,35.0,4.4469499588012695,12.223209381103516,27.9007511138916,0.0
2943861,Y,45.0,10.431730270385742,19.0450382232666,32.15083694458008,0.0021180831347630395
2943870,Y,121.0,15.962958335876465,28.732818603515625,51.45695877075195,0.07957195774454658
2943874,Y,30.0,9.39908504486084,14.57258129119873,19.634475708007812,0.0
2943876,N,4.1,1.5968923568725586,2.40948224067688,9.874506950378418,0.0
2943878,N,6.0,9.188980102539062,12.343173027038574,15.031603813171387,0.0
2943886,Y,97.3,12.855100631713867,22.322731018066406,46.62387466430664,0.038047138047138045
