x,y,height_m,height_then_m,growth_m,cai_m_yr,stand_x,stand_y,in_target,leave_tree,harvest
364078.5,6686471.5,26.93000030517578,24.90999984741211,2.020000457763672,0.168333371480306,364000,6686400,False,False,False
364318.5,6686471.5,21.540000915527344,16.700000762939453,4.840000152587891,0.4033333460489909,364300,6686400,False,False,False
364329.5,6686471.5,22.959999084472656,16.989999771118164,5.969999313354492,0.497499942779541,364300,6686400,False,False,False
364358.5,6686471.5,19.219999313354492,13.970000267028809,5.249999046325684,0.4374999205271403,364300,6686400,False,False,False
364525.5,6686471.5,28.729999542236328,26.31999969482422,2.4099998474121094,0.20083332061767578,364500,6686400,True,True,False
364285.5,6686470.5,23.049999237060547,16.93000030517578,6.119998931884766,0.5099999109903971,364200,6686400,False,False,False
364018.5,6686469.5,24.440000534057617,23.420000076293945,1.0200004577636719,0.08500003814697266,364000,6686400,False,False,False
364047.5,6686469.5,29.149999618530273,24.43000030517578,4.719999313354492,0.39333327611287433,364000,6686400,False,False,False
364067.5,6686469.5,23.729999542236328,21.3799991607666,2.3500003814697266,0.1958333651224772,364000,6686400,False,False,False
364103.5,6686469.5,22.309999465942383,19.739999771118164,2.5699996948242188,0.21416664123535156,364100,6686400,False,False,False
364136.5,6686469.5,19.93000030517578,20.969999313354492,-1.039999008178711,-0.08666658401489258,364100,6686400,False,False,False
364248.5,6686469.5,32.90999984741211,28.739999771118164,4.170000076293945,0.3475000063578288,364200,6686400,False,False,False
364450.5,6686469.5,23.75,20.020000457763672,3.729999542236328,0.31083329518636066,364400,6686400,False,False,False
364477.5,6686469.5,19.549999237060547,17.360000610351562,2.1899986267089844,0.18249988555908203,364400,6686400,False,False,False
364644.5,6686469.5,29.799999237060547,27.260000228881836,2.539999008178711,0.21166658401489258,364600,6686400,True,False,True
364167.5,6686468.5,31.889999389648438,27.520000457763672,4.369998931884766,0.3641665776570638,364100,6686400,False,False,False
364339.5,6686468.5,21.959999084472656,15.6899995803833,6.2699995040893555,0.5224999586741129,364300,6686400,False,False,False
364027.5,6686467.5,26.1299991607666,25.309999465942383,0.8199996948242188,0.06833330790201823,364000,6686400,False,False,False
364241.5,6686467.5,32.41999816894531,29.65999984741211,2.759998321533203,0.22999986012776694,364200,6686400,False,False,False
364278.5,6686467.5,20.940000534057617,14.229999542236328,6.710000991821289,0.5591667493184408,364200,6686400,False,False,False
364413.5,6686467.5,10.069999694824219,0.0,10.069999694824219,0.8391666412353516,364400,6686400,False,False,False
364632.5,6686467.5,28.790000915527344,26.149999618530273,2.6400012969970703,0.2200001080830892,364600,6686400,True,False,True
364925.5,6686467.5,19.809999465942383,17.440000534057617,2.3699989318847656,0.19749991099039713,364900,6686400,False,False,False
364954.5,6686467.5,24.920000076293945,23.34000015258789,1.5799999237060547,0.1316666603088379,364900,6686400,False,False,False
364179.5,6686466.5,33.66999816894531,28.979999542236328,4.689998626708984,0.39083321889241535,364100,6686400,False,False,False
364561.5,6686466.5,28.420000076293945,26.290000915527344,2.1299991607666016,0.17749993006388345,364500,6686400,True,True,False
364675.5,6686466.5,27.739999771118164,26.219999313354492,1.5200004577636719,0.1266667048136393,364600,6686400,True,False,True
364040.5,6686465.5,24.489999771118164,22.479999542236328,2.010000228881836,0.16750001907348633,364000,6686400,False,False,False
364125.5,6686465.5,16.360000610351562,16.979999542236328,-0.6199989318847656,-0.051666577657063804,364100,6686400,False,False,False
364151.5,6686465.5,27.09000015258789,20.1299991607666,6.960000991821289,0.580000082651774,364100,6686400,False,False,False
