stand_x,stand_y,n_stems,mean_h,max_h,mean_cai,dom_h,forest_frac,flat_frac,forest_ha,stems_per_ha,age_est,mai,cai,cai_pct,slowness,maturity_pct,priority,ready
364000,6685800,71,16.60422531315978,24.209999084472656,0.1293662002948528,16.60422531315978,0.6525,0.1203,0.6525,108.81226053639847,50.63967747635935,0.32788963399127696,0.1293662002948528,0.04878048780487805,0.9512195121951219,0.07317073170731707,0.5560975609756098,True
364400,6685800,79,24.223038009450406,32.369998931884766,0.42548524176521135,24.223038009450406,0.9935,0.0003,0.9935,79.51685958731755,109.76178097484635,0.2206873630722291,0.42548524176521135,0.6463414634146342,0.35365853658536583,0.7926829268292683,0.551219512195122,False
364300,6686300,73,22.38493147941485,32.93000030517578,0.3966894868302019,22.38493147941485,0.9751,0.0005,0.9751,74.8641165008717,87.29752917552875,0.2564211346051452,0.3966894868302019,0.573170731707317,0.426829268292683,0.6219512195121951,0.5146341463414634,False
364900,6685800,57,21.790701815956517,27.8700008392334,0.3548099534553394,21.790701815956517,0.7027,0.2651,0.7027,81.11569659883307,81.90452461537832,0.266050037141234,0.3548099534553394,0.5121951219512195,0.4878048780487805,0.524390243902439,0.5042682926829268,False
364700,6685600,62,26.210806385163337,31.31999969482422,0.5143145130526635,26.210806385163337,0.989,0.0021,0.989,62.68958543983822,164.84942619023505,0.1589984690326811,0.5143145130526635,0.8536585365853658,0.14634146341463417,0.9390243902439024,0.5030487804878049,False
364300,6685900,83,22.580120546272003,32.70000076293945,0.43621485922710007,22.580120546272003,0.9193,0.0151,0.9193,90.28608724029152,89.21761640534193,0.25309038120547694,0.43621485922710007,0.6707317073170732,0.3292682926829268,0.6707317073170732,0.4829268292682927,False
364500,6685500,89,20.48393257012528,26.1200008392334,0.34344569216953236,20.48393257012528,0.9899,0.002,0.9899,89.90807152237599,71.88511908238118,0.284953726607178,0.34344569216953236,0.47560975609756095,0.524390243902439,0.4268292682926829,0.4804878048780488,False
364600,6686000,40,20.28449991941452,34.22999954223633,0.31431251469378674,20.28449991941452,0.633,0.1194,0.633,63.191153238546605,70.52934591462584,0.287603686896068,0.31431251469378674,0.45121951219512196,0.5487804878048781,0.3780487804878049,0.4719512195121952,False
364000,6686000,86,18.321279048919678,25.290000915527344,0.26813952913580014,18.321279048919678,0.9374,0.0287,0.9374,91.74311926605505,58.91899155824931,0.3109571050754771,0.26813952913580014,0.2926829268292683,0.7073170731707317,0.18292682926829268,0.4713414634146342,True
364400,6685600,81,19.89827154889519,24.770000457763672,0.3316358038427408,19.89827154889519,0.8956,0.0941,0.8956,90.44216167932113,68.00999025063582,0.2925786560998538,0.3316358038427408,0.4634146341463415,0.5365853658536586,0.36585365853658536,0.4597560975609757,False
